"gender_feedback","admin_shown","sciences_shown","public_shown","female_pick","admin_pick","sciences_pick","public_pick","citizenship","gender","base_gender","choice1","choice2","choice3","choice4","choice5","choice6","choice7","gender_region","female_eastern","female_western","race","age","gender_code","race_code"
1,1,0,1,0,0,0,1,"Western","Woman",3,"Krasae","Alastair","In-jin","Heike","Ailsa","Pilai","Job-Gunter","Male_Western",0,0,"White / Caucasian",48,0,1
1,1,1,0,0,0,0,1,"Eastern","Woman",1,"Maria","Banjerd","Sandu","Raymond","Renato","Luis","Somsak","Male_Eastern",0,0,"White / Caucasian",38,0,1
1,1,1,0,0,0,0,1,"Western","Woman",2,"Sung-chul","Shareen","Shaiwatna","Jinghua","Xiaoyi","Sujin","Ditmar","Male_Western",0,0,"Black or African American",38,0,0
1,1,1,0,1,0,0,1,"Western","Man",1,"Alastair","Dino","Udo","Demetrio","Ethel","Canfa","Rachel","Female_Western",0,1,"White / Caucasian",72,1,1
1,1,1,0,0,0,0,1,"Eastern","Man",1,"Dino","Job-Gunter","Ning","Krasae","Weilie","Jinghua","Canfa","Male_Eastern",0,0,"White / Caucasian",74,1,1
0,1,1,1,0,0,1,1,"Western","Man",0,"Sung-chul","Job-Gunter","Ciro","Nidhi","Renato","Gontard","Ghillean","Male_Western",0,0,"White / Caucasian",36,1,1
0,1,1,1,0,0,1,1,"Western","Woman",1,"Ping","Bong-ho","Kwang-je","Sung-hee","Luis","Roberto","Alastair","Male_Western",0,0,"White / Caucasian",47,0,1
1,1,1,0,0,0,0,1,"Eastern","Man",1,"Sung-chul","Ping","Dino","Jong-sei","Sujin","Dorothy","Nidhi","Male_Eastern",0,0,"White / Caucasian",44,1,1
0,1,1,1,0,0,1,1,"Western","Woman",2,"Ning","Jean","Xuhua","Jong-sei","Banjerd","Dino","Russell","Male_Western",0,0,"White / Caucasian",28,0,1
0,1,1,1,1,0,0,0,"Western","Woman",1,"Sung-hee","Wedig","Kwang-je","Ciro","Jong-sei","Alastair","Catharine","Female_Western",0,1,"White / Caucasian",73,0,1
1,1,1,0,1,0,1,1,"Western","Man",0,"Xinyuan","Sung-chul","Sujin","Renato","Job-Gunter","Garry","Shareen","Female_Western",0,1,"White / Caucasian",35,1,1
1,0,1,1,0,0,0,1,"Eastern","Man",1,"Luis","Yinhe","Shaiwatna","Sandu","Xinyuan","Krasae","Somsak","Male_Eastern",0,0,"White / Caucasian",65,1,1
0,1,1,1,0,0,1,0,"Eastern","Man",1,"Gontard","Anthea","Dino","Xinyuan","Ping","Kwang-je","Longjin","Male_Eastern",0,0,"White / Caucasian",39,1,1
0,1,1,1,0,0,0,1,"Eastern","Man",0,"Ludger","Alastair","Baek-in","Shenggen","Sung-chul","Renato","Kil-nam","Male_Eastern",0,0,"White / Caucasian",52,1,1
0,1,1,1,0,0,0,1,"Eastern","Man",2,"Kwang-je","Sujin","Sandu","Zhizhen","Alma","Ping","Banjerd","Male_Eastern",0,0,"White / Caucasian",44,1,1
1,0,1,1,0,0,1,0,"Eastern","Woman",2,"Yunhui","Sujin","Russell","Engelbert","Beatrix","Ghillean","Longjin","Male_Eastern",0,0,"White / Caucasian",61,0,1
1,1,1,0,0,0,1,1,"Western","Woman",2,"In-jin","In-ho","Kesree","Ky-chun","Canfa","Kitti","Ghillean","Male_Western",0,0,"Asian / Pacific Islander",38,0,0
1,1,1,0,0,0,0,1,"Eastern","Woman",1,"Canfa","Willis","Kobchitt","Gernulf","Xinyuan","Arun","Shenggen","Male_Eastern",0,0,"White / Caucasian",33,0,1
1,1,1,0,0,0,0,0,"Western","Woman",3,"Junliang","Jean","Choon-mie","Ciro","Gernulf","Greta","Lino","Male_Western",0,0,"White / Caucasian",42,0,1
0,1,1,1,0,0,0,0,"Eastern","Woman",2,"Li","Anthea","Engelbert","Xinyuan","Luis","Shenggen","Saksri","Male_Eastern",0,0,"Black or African American",42,0,0
0,1,1,1,0,0,1,1,"Eastern","Non-binary",0,"Kwang-je","Ferdinando","Xinyuan","Arun","Luis","Jong-sei","Sujin","Male_Eastern",0,0,"White / Caucasian",40,0,1
0,1,1,1,0,0,0,0,"Eastern","Woman",1,"Xuetao","Somran","Jinghua","Udo","Kitti","Ailsa","Krasae","Male_Eastern",0,0,"White / Caucasian",44,0,1
0,0,0,0,0,0,1,1,"Western","Man",2,"Trude","Raymond","Demetrio","Banjerd","Shenggen","Kesree","Alastair","Male_Western",0,0,"White / Caucasian",27,1,1
1,1,0,1,0,0,0,1,"Western","Man",1,"Choong-soo","Raymond","Xinyuan","Gernulf","Rachel","Ping","Udo","Male_Western",0,0,"Asian / Pacific Islander",71,1,0
1,1,1,0,0,0,1,1,"Western","Woman",0,"Gerardo","Kitti","Junliang","Engelbert","Sandu","Renato","Russell","Male_Western",0,0,"White / Caucasian",40,0,1
1,0,1,1,1,0,1,1,"Eastern","Woman",1,"Baek-in","Somran","Junliang","Mariassunta","Dino","Xuhua","Arunrat","Female_Eastern",1,0,"White / Caucasian",60,0,1
0,1,1,1,0,0,1,1,"Eastern","Man",2,"Gernulf","Krasae","Arun","Nidhi","Ning","Shareen","Sujin","Male_Eastern",0,0,"White / Caucasian",57,1,1
0,1,1,1,0,0,1,1,"Western","Woman",0,"Ghillean","Gernulf","Raymond","Jan","Renato","Sujin","Ferdinando","Male_Western",0,0,"White / Caucasian",68,0,1
0,1,1,1,0,0,1,1,"Eastern","Woman",2,"In-jin","Thida","Yinhe","Xinyuan","Gerardo","Sandu","Kwang-je","Male_Eastern",0,0,"White / Caucasian",61,0,1
0,1,1,1,1,0,0,1,"Western","Man",1,"Shareen","Jong-sei","Luis","Wedig","Banjerd","Longjin","Eugenia","Female_Western",0,1,"White / Caucasian",58,1,1
0,1,1,1,0,0,0,1,"Eastern","Man",1,"Krasae","Xuhua","Shareen","Junliang","Sandu","Choong-soo","Xuetao","Male_Eastern",0,0,"White / Caucasian",45,1,1
0,0,0,0,0,0,1,1,"Eastern","Woman",1,"Engelbert","Hong-nam","Roberto","Canfa","Gernulf","Alastair","Shaiwatna","Male_Eastern",0,0,"White / Caucasian",59,0,1
0,1,1,1,0,0,0,0,"Eastern","Man",3,"Dorothy","Gerardo","Ping","Kobchitt","Krasae","Isabel","Yong-pil","Male_Eastern",0,0,"Black or African American",28,1,0
0,1,1,1,0,0,1,1,"Western","Man",3,"Shareen","Gontard","In-young","Thida","Gerardo","Jong-sei","Ghillean","Male_Western",0,0,"White / Caucasian",38,1,1
0,1,1,1,1,0,1,1,"Eastern","Woman",2,"Engelbert","Dora","Sung-hee","Saksri","Arun","Jinghua","Krisana","Female_Eastern",1,0,"Black or African American",23,0,0
1,0,1,1,1,0,0,1,"Western","Woman",1,"Alastair","Krasae","Job-Gunter","Xinyuan","Anty","Engelbert","Greta","Female_Western",0,1,"White / Caucasian",23,0,1
1,0,1,1,0,0,0,1,"Western","Woman",0,"Ian","Bong-ho","Ciro","Luis","Junliang","Claus-Peter","Job-Gunter","Male_Western",0,0,"White / Caucasian",58,0,1
0,1,1,1,1,0,0,1,"Western","Man",1,"Banjerd","Mariassunta","Sujin","Sandu","Weilie","Gerardo","Jean","Female_Western",0,1,"White / Caucasian",29,1,1
0,1,1,1,0,0,0,1,"Western","Man",1,"Pasuk","Luis","Claus-Peter","Ciro","Alastair","Xinyuan","Engelbert","Male_Western",0,0,"White / Caucasian",43,1,1
1,1,1,0,1,0,0,1,"Western","Man",0,"Sandu","Junliang","Banjerd","Ferdinando","Shenggen","Claus-Peter","Ailsa","Female_Western",0,1,"White / Caucasian",51,1,1
0,1,1,1,0,0,0,1,"Western","Woman",3,"Kobchitt","Melanie","Yinhe","Krasae","Lionello","Job-Gunter","Renato","Male_Western",0,0,"White / Caucasian",62,0,1
0,1,1,1,0,0,0,1,"Eastern","Man",4,"Zhizhen","Stefania","Bethan","Russell","Krasae","Pilai","Shenggen","Male_Eastern",0,0,"Hispanic / Latinx",37,1,0
1,1,0,1,0,0,1,0,"Western","Woman",1,"Ciro","Sung-chul","Rachel","Xuhua","Jinghua","Weilie","Allen","Male_Western",0,0,"Asian / Pacific Islander",29,0,0
1,1,0,1,0,0,0,1,"Eastern","Woman",1,"Longjin","Weilie","Engelbert","Garry","Kil-nam","Mariassunta","Canfa","Male_Eastern",0,0,"Hispanic / Latinx",46,0,0
1,0,1,1,0,0,1,0,"Eastern","Woman",0,"Jong-sei","Garry","Udo","Banjerd","Lino","Jinghua","Longjin","Male_Eastern",0,0,"White / Caucasian",35,0,1
0,1,1,1,0,0,0,1,"Western","Man",2,"Kwang-je","Anthea","Nidhi","Demetrio","Isabel","Ferdinando","Lionello","Male_Western",0,0,"White / Caucasian",38,1,1
1,0,1,1,0,0,0,1,"Eastern","Woman",1,"Shenggen","Ethel","In-jin","Ditmar","Lionello","Ping","Xuetao","Male_Eastern",0,0,"White / Caucasian",59,0,1
1,1,1,0,0,0,0,1,"Eastern","Woman",1,"Allen","Canfa","Job-Gunter","Zhizhen","Xuetao","Kitti","Shenggen","Male_Eastern",0,0,"White / Caucasian",52,0,1
0,1,1,1,0,0,0,1,"Western","Man",0,"Jan","Lionello","Arun","Sandu","Xuetao","Canfa","Roberto","Male_Western",0,0,"White / Caucasian",49,1,1
1,1,1,0,0,0,0,1,"Eastern","Woman",0,"Krasae","Yong-pil","Shenggen","Demetrio","Saksri","Lionello","Nidhi","Male_Eastern",0,0,"White / Caucasian",68,0,1
1,1,1,0,0,0,0,1,"Western","Man",0,"Shaiwatna","Russell","Sung-chul","Jinghua","Dino","Choong-soo","Jan","Male_Western",0,0,"White / Caucasian",41,1,1
1,1,1,0,0,0,0,0,"Eastern","Woman",3,"Kobchitt","Arun","Rachel","Dino","Dong","Xinyuan","In-jin","Male_Eastern",0,0,"Black or African American",38,0,0
1,1,1,0,0,0,1,1,"Eastern","Man",1,"Krisana","Junliang","Krasae","Gernulf","Alastair","Jong-sei","Pichaet","Male_Eastern",0,0,"Black or African American",75,1,0
0,1,1,1,0,0,1,1,"Eastern","Man",1,"Mandy","Choong-soo","Xuetao","Alastair","Weilie","Dino","Pichaet","Male_Eastern",0,0,"Black or African American",41,1,0
0,1,1,1,0,0,1,1,"Western","Woman",1,"Gontard","Weilie","Kil-nam","Shaiwatna","Bethan","Sung-chul","Alastair","Male_Western",0,0,"Asian / Pacific Islander",37,0,0
1,1,1,0,0,0,1,0,"Eastern","Woman",1,"Krasae","Nidhi","Ghillean","Mariassunta","Dino","Xinyuan","Xuhua","Male_Eastern",0,0,"Black or African American",55,0,0
1,1,1,0,1,0,0,1,"Western","Woman",1,"Kitti","Demetrio","Arunrat","Job-Gunter","Shaiwatna","Jan","Beatrix","Female_Western",0,1,"White / Caucasian",59,0,1
0,1,1,1,0,0,1,1,"Eastern","Man",2,"Shaiwatna","Ning","Yong-pil","Hong-nam","Jong-sei","Jinghua","Xinyuan","Male_Eastern",0,0,"White / Caucasian",53,1,1
1,1,1,0,0,0,1,1,"Western","Woman",1,"Alma","Sung-chul","Krasae","Claus-Peter","Choong-soo","Engelbert","Dino","Male_Western",0,0,"White / Caucasian",54,0,1
1,1,1,0,1,0,0,1,"Western","Man",0,"Ferdinando","Luis","Pichaet","Gontard","Sandu","Canfa","Ana","Female_Western",0,1,"White / Caucasian",37,1,1
0,1,1,1,0,0,0,1,"Eastern","Man",0,"Willis","Bong-ho","Banjerd","Allen","Gernulf","Xinyuan","Somsak","Male_Eastern",0,0,"White / Caucasian",32,1,1
1,1,1,0,0,0,0,1,"Eastern","Man",0,"Kwang-je","Ciro","Choong-soo","Pichaet","Sujin","Udo","Canfa","Male_Eastern",0,0,"White / Caucasian",52,1,1
1,0,1,1,0,0,0,1,"Western","Man",2,"Jan","Sujin","Krisana","Ferdinando","Mandy","Arun","Engelbert","Male_Western",0,0,"White / Caucasian",34,1,1
0,1,1,1,0,0,0,1,"Western","Man",2,"Xuhua","Jong-sei","Anthea","Xuetao","Weilie","Kyongae","Gerardo","Male_Western",0,0,"White / Caucasian",35,1,1
0,1,1,1,0,0,0,1,"Eastern","Man",2,"Yong-pil","Mariassunta","Luis","Anthea","Allen","Xinyuan","Ping","Male_Eastern",0,0,"White / Caucasian",51,1,1
0,1,1,1,1,0,0,1,"Western","Woman",0,"Gernulf","Shenggen","Krasae","Job-Gunter","Lionello","Dino","Rachel","Female_Western",0,1,"White / Caucasian",45,0,1
1,1,0,1,0,0,1,1,"Eastern","Man",2,"Ludger","Arun","Krisana","Li","Jan","Ky-chun","Somran","Male_Eastern",0,0,"White / Caucasian",37,1,1
0,1,1,1,0,0,0,0,"Eastern","Man",0,"Dino","Garry","Somsak","Gontard","Somran","Ciro","In-jin","Male_Eastern",0,0,"White / Caucasian",45,1,1
1,1,1,0,1,0,0,1,"Western","Woman",1,"Dino","Canfa","Lucetta","Yong-pil","Shenggen","Engelbert","Catriona","Female_Western",0,1,"White / Caucasian",58,0,1
0,1,1,1,0,0,1,0,"Eastern","Woman",2,"Krasae","Dino","Raymond","Alma","Sujin","Melanie","Sung-chul","Male_Eastern",0,0,"White / Caucasian",47,0,1
0,1,1,1,0,0,0,1,"Western","Man",0,"Krasae","Luis","Xinyuan","Sung-chul","Bong-ho","Shenggen","Ian","Male_Western",0,0,"White / Caucasian",51,1,1
1,1,1,0,1,0,1,1,"Western","Woman",2,"Garry","Engelbert","Li","Xinyuan","Dora","Nidhi","Shareen","Female_Western",0,1,"White / Caucasian",69,0,1
0,1,1,1,0,0,1,0,"Western","Woman",3,"Engelbert","Isabel","Rachel","Xinyuan","Wedig","Kobchitt","Allen","Male_Western",0,0,"White / Caucasian",46,0,1
1,0,1,1,0,0,1,1,"Eastern","Man",1,"Dino","Luis","Jinghua","Shaiwatna","Ailsa","Engelbert","Kwang-je","Male_Eastern",0,0,"White / Caucasian",43,1,1
1,0,1,1,1,0,0,1,"Western","Man",1,"Jan","Banjerd","Renato","Garry","Gontard","Bettine","Eugenia","Female_Western",0,1,"White / Caucasian",53,1,1
0,1,1,1,0,0,0,0,"Eastern","Woman",0,"Jong-sei","Renato","Gernulf","Shenggen","Ludger","Wedig","Krasae","Male_Eastern",0,0,"White / Caucasian",37,0,1
1,1,1,0,0,0,0,1,"Western","Man",1,"Nidhi","Pasuk","Russell","Claus-Peter","Gernulf","Shenggen","Raymond","Male_Western",0,0,"White / Caucasian",33,1,1
0,1,1,1,0,0,0,1,"Western","Woman",1,"Gontard","Somsak","Anthea","Arun","Xinyuan","Saksri","Jan","Male_Western",0,0,"White / Caucasian",68,0,1
0,1,1,1,0,0,0,1,"Western","Woman",2,"Lionello","Ghillean","Ditmar","Baek-in","Eugenia","Bettine","Job-Gunter","Male_Western",0,0,"White / Caucasian",37,0,1
1,1,1,0,1,0,1,1,"Western","Woman",1,"Sujin","Krasae","Shenggen","Pasuk","Xuetao","Arun","Stefania","Female_Western",0,1,"White / Caucasian",53,0,1
1,1,1,0,0,0,1,1,"Western","Man",1,"Longjin","Jinghua","Eugenia","Sujin","Jong-sei","Sung-chul","Alastair","Male_Western",0,0,"White / Caucasian",39,1,1
0,1,1,1,0,0,1,0,"Eastern","Woman",1,"Xinyuan","Kwang-je","Dorothy","Dino","Shenggen","Pichaet","Jong-sei","Male_Eastern",0,0,"White / Caucasian",52,0,1
0,1,1,1,0,0,0,1,"Western","Man",0,"Shenggen","Sujin","Nidhi","Dino","Bong-ho","Krasae","Gerardo","Male_Western",0,0,"White / Caucasian",56,1,1
1,1,1,0,0,0,1,1,"Eastern","Woman",1,"Xinyuan","Dino","Engelbert","Roberto","Yong-pil","Pilai","Somran","Male_Eastern",0,0,"White / Caucasian",60,0,1
1,1,0,1,0,0,0,1,"Eastern","Woman",1,"Engelbert","Yong-pil","Arun","Shenggen","Mariassunta","Weilie","Kil-nam","Male_Eastern",0,0,"Asian / Pacific Islander",34,0,0
1,0,1,1,0,0,0,1,"Western","Man",1,"Lino","Claus-Peter","Xuetao","Ailsa","Sujin","Yong-pil","Lionello","Male_Western",0,0,"White / Caucasian",48,1,1
1,0,1,1,0,0,0,1,"Eastern","Man",4,"Krisana","Catriona","Shaiwatna","Li","Mechtild","Allen","Bong-ho","Male_Eastern",0,0,"White / Caucasian",34,1,1
0,1,1,1,0,0,1,0,"Eastern","Man",2,"Sandu","Xinyuan","Yinhe","Thida","Ping","Dino","Jong-sei","Male_Eastern",0,0,"Asian / Pacific Islander",40,1,0
0,1,1,1,0,0,0,1,"Eastern","Man",1,"Nidhi","Somsak","Russell","Anthea","Ciro","In-jin","Xuetao","Male_Eastern",0,0,"White / Caucasian",40,1,1
0,1,1,1,0,0,1,1,"Western","Woman",0,"Ping","Jinghua","Gontard","Krasae","Gernulf","Pichaet","Alastair","Male_Western",0,0,"Asian / Pacific Islander",24,0,0
0,1,1,1,0,0,0,1,"Eastern","Man",0,"Kwang-je","Sung-chul","Somran","Weilie","Jan","Arun","Baek-in","Male_Eastern",0,0,"White / Caucasian",41,1,1
1,1,0,1,1,0,0,1,"Western","Man",1,"Shaiwatna","Luis","Krisana","Engelbert","Ghillean","Ferdinando","Eugenia","Female_Western",0,1,"Hispanic / Latinx",33,1,0
0,1,1,1,0,0,1,1,"Eastern","Woman",2,"Bethan","Willis","Renato","Raymond","Renata","Longjin","Jinghua","Male_Eastern",0,0,"White / Caucasian",58,0,1
0,1,1,1,0,0,0,1,"Western","Woman",2,"Krasae","Krisana","Alastair","Choong-soo","Lionello","Shareen","Arun","Male_Western",0,0,"White / Caucasian",41,0,1
1,1,1,0,0,0,1,0,"Eastern","Woman",1,"Demetrio","Kitti","Chumsri","Ciro","Junliang","Gerardo","Jong-sei","Male_Eastern",0,0,"White / Caucasian",75,0,1
1,0,1,1,1,0,0,1,"Western","Woman",0,"Job-Gunter","Alastair","In-jin","Xuetao","Arun","Banjerd","Mechtild","Female_Western",0,1,"Black or African American",69,0,0
0,1,1,1,0,0,1,0,"Eastern","Woman",0,"Gerardo","Xuetao","Pichaet","Yong-pil","Jinghua","Kil-nam","Sung-chul","Male_Eastern",0,0,"White / Caucasian",61,0,1
0,1,1,1,0,0,1,0,"Eastern","Man",2,"Anthea","Luis","Kitti","Roberto","Sandu","Greta","Longjin","Male_Eastern",0,0,"White / Caucasian",45,1,1
1,1,1,0,0,0,0,0,"Eastern","Woman",1,"Jinghua","Bong-ho","Sujin","Ghillean","Trude","Choong-soo","In-jin","Male_Eastern",0,0,"White / Caucasian",27,0,1
0,1,1,1,0,0,1,1,"Western","Woman",1,"Somsak","Yong-pil","Engelbert","Job-Gunter","Renato","Kobchitt","Ghillean","Male_Western",0,0,"White / Caucasian",66,0,1
1,1,1,0,0,0,1,1,"Western","Man",1,"Dong","Kwang-je","Udo","Jong-sei","Engelbert","Banjerd","Alastair","Male_Western",0,0,"White / Caucasian",58,1,1
1,1,1,0,1,0,1,1,"Eastern","Woman",0,"Engelbert","Choong-soo","Xuetao","Sandu","Gerardo","Longjin","Yunhui","Female_Eastern",1,0,"White / Caucasian",37,0,1
1,1,0,1,0,0,1,1,"Eastern","Man",2,"Kil-nam","Russell","Shaiwatna","Jean","Dino","Dora","Kitti","Male_Eastern",0,0,"Black or African American",38,1,0
0,1,1,1,0,0,1,0,"Eastern","Man",3,"Ditmar","Stefania","Choong-soo","Anthea","Heike","Willis","Longjin","Male_Eastern",0,0,"Hispanic / Latinx",36,1,0
1,1,0,1,0,0,1,1,"Western","Woman",0,"Ghillean","Somran","Ciro","Alastair","Jong-sei","Gernulf","Ferdinando","Male_Western",0,0,"White / Caucasian",68,0,1
1,1,1,0,0,0,0,0,"Eastern","Man",1,"Ning","Yong-pil","Garry","Choong-soo","Russell","Shaiwatna","Junliang","Male_Eastern",0,0,"White / Caucasian",70,1,1
0,1,1,1,0,0,0,1,"Western","Woman",1,"Miaoqing","Engelbert","Krasae","Gernulf","Roberto","Job-Gunter","Arun","Male_Western",0,0,"White / Caucasian",44,0,1
1,1,1,0,0,0,1,1,"Western","Man",2,"Raymond","Canfa","Sung-chul","Junliang","Xiaoyi","Sung-hee","Sandu","Male_Western",0,0,"Asian / Pacific Islander",29,1,0
1,1,1,0,0,0,1,0,"Eastern","Man",1,"Kwang-je","Ana","Somran","Baek-in","Junliang","Alastair","Sung-chul","Male_Eastern",0,0,"White / Caucasian",38,1,1
0,1,1,1,1,0,0,1,"Eastern","Man",2,"Gernulf","Bong-ho","Raymond","Bok-ryeo","Somsak","Isabel","Kesree","Female_Eastern",1,0,"White / Caucasian",47,1,1
1,0,1,1,1,0,0,1,"Western","Woman",0,"Saksri","Engelbert","Xuetao","Shenggen","Ciro","Weilie","Lucetta","Female_Western",0,1,"White / Caucasian",44,0,1
1,1,0,1,0,0,0,1,"Western","Woman",2,"Baek-in","Dino","Shenggen","Xuetao","Heike","Xiaoyi","Roberto","Male_Western",0,0,"White / Caucasian",25,0,1
1,1,1,0,0,0,1,1,"Western","Man",1,"Luis","Allen","Dino","In-jin","Jan","Ethel","Russell","Male_Western",0,0,"White / Caucasian",33,1,1
0,1,1,1,1,0,0,1,"Eastern","Man",1,"Baek-in","Roberto","Isabel","Luis","Jong-sei","Ping","Niyada","Female_Eastern",1,0,"White / Caucasian",36,1,1
0,1,1,1,0,0,1,0,"Eastern","Man",1,"Jong-sei","Sujin","Xinyuan","Junliang","Yunhui","Kwang-je","Sung-chul","Male_Eastern",0,0,"White / Caucasian",54,1,1
0,1,1,1,0,0,1,0,"Eastern","Man",2,"Sung-chul","Dong","Wedig","Thida","Yong-pil","Jan","Jong-sei","Male_Eastern",0,0,"Asian / Pacific Islander",30,1,0
0,1,1,1,0,0,0,1,"Western","Woman",3,"Gontard","Isabel","Lionello","Mariassunta","Dino","Yeong-hui","Demetrio","Male_Western",0,0,"White / Caucasian",45,0,1
1,1,1,0,0,0,0,1,"Western","Man",2,"Alastair","Roberto","Xinyuan","Sung-chul","Mechtild","Hong-nam","Udo","Male_Western",0,0,"Hispanic / Latinx",34,1,0
