"ParticipantID","western_female","eastern_female","female_pick","gender_feedback","western_participant","eastern_participant","higher_incentive","Chinese_female","SouthKorean_female","Italian_female","German_female","is_chinese_participant","is_korean_participant","is_italian_participant","is_german_participant","gender_male","race_white","age","country","cond","Q33_1","Q33_2","Q33_3","Q33_4","Q33_5","Q33_6","Q33_7","Q33_8","Q33_9","Q33_10","Q33_11","Q33_12","Q33_13","Q33_14","Q33_15","Q33_16","Q33_17","Q33_18","Q33_19","Q33_20","Q33_21","Q33_22","Q33_23","Q33_24","Professor1","Professor2","Professor3","Professor4","Professor5","Professor6","Professor7","Professor8","Professor9","Professor10","Professor11","Professor12","Professor13","Professor14","Professor15","Professor16","Professor17","Professor18","Professor19","Professor20","Professor21","Professor22","Professor23","Professor24","P_gender_unrecognized"
11,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,38,"South Korea","treat","Male","Female","Female","Male","Female","Male","Male","Male","Male","Female","Male","Female","Male","Female","Male","Female","Male","Male","Female","Female","Male","Female","Female","Female","Luis","Udo","Baek-in","Gernulf","Junliang","Bong-ho","Kwang-je","Weilie","Lionello","Renato","Jan","Longjin","Claus-Peter","Job-Gunter","Choon-mie","Kil-nam","Canfa","Augusta","Yunhui","Ciro","Gerardo","Yong-pil","Shenggen","Greta",0
12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,32,"South Korea","control","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Female","Female","Male","Male","Male","Female","Male","Male","Male","Male","Male","Male","Female","Male","Dino","Ditmar","Ning","Bong-ho","Junliang","Xuhua","Lino","Jinghua","Roberto","Ky-chun","Hei-sook","Ana","Ludger","Claus-Peter","Kwang-je","Stefania","Choong-soo","Gontard","Lionello","Jong-sei","Canfa","Shenggen","Ciro","Udo",0
13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,43,"South Korea","control","Female","Male","Male","Male","Female","Male","Male","Male","Female","Male","Female","Male","Male","Female","Male","Female","Female","Male","Male","Male","Male","Unknown","Male","Unknown","In-jin","Ludger","Roberto","Gernulf","Eugenia","Demetrio","Choong-soo","Gerardo","Ning","Luis","Ping","Sung-chul","Ferdinando","Hei-sook","Job-Gunter","Weilie","Bettine","Xuetao","Bong-ho","Engelbert","Udo","Longjin","Yong-pil","Canfa",0.0833333333333333
14,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,40,"South Korea","treat","Male","Unknown","Male","Male","Female","Female","Unknown","Female","Female","Female","Male","Male","Female","Female","Unknown","Unknown","Male","Male","Male","Male","Male","Male","Male","Female","Ky-chun","Gernulf","Gontard","Gerardo","Stefania","Greta","Wedig","Xinyuan","Renato","Ping","Ditmar","Job-Gunter","Weilie","In-jin","Lino","Xuetao","Ferdinando","Xuhua","Luis","Kwang-je","Sung-chul","Dong","Kil-nam","Sung-hee",0.166666666666667
15,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,28,"South Korea","treat","Male","Female","Female","Male","Male","Male","Female","Male","Female","Female","Male","Unknown","Male","Male","Unknown","Male","Female","Male","Male","Male","Female","Male","Unknown","Male","Luis","Junliang","Ana","Choong-soo","Ferdinando","Lionello","Renata","Bong-ho","Xinyuan","Jan","Gontard","Canfa","Engelbert","Ping","Ditmar","Kwang-je","Weilie","Udo","Lino","In-jin","Hei-sook","Jong-sei","Miaoqing","Gerardo",0.125
16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,36,"South Korea","control","Female","Male","Male","Female","Female","Female","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Female","Male","Male","Male","Male","Male","Male","Male","Trude","Demetrio","Roberto","Claus-Peter","Canfa","Kil-nam","Junliang","Job-Gunter","Xuetao","Ciro","Choon-mie","Shenggen","Wedig","Luis","Choong-soo","Maria","Sucheng","Sung-chul","Engelbert","Baek-in","Gerardo","In-jin","Udo","Xuhua",0
17,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,29,"South Korea","treat","Male","Male","Male","Female","Male","Male","Male","Male","Male","Male","Female","Female","Female","Female","Male","Male","Male","Male","Male","Female","Male","Male","Female","Male","Junliang","Gernulf","Ky-chun","In-young","Udo","Kwang-je","Lino","Ditmar","Ferdinando","Weilie","Dora","Canfa","Ana","Ning","Ludger","Bong-ho","Engelbert","Lionello","Luis","Xuhua","In-jin","Roberto","Jong-sei","Xuetao",0
18,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,22,"South Korea","control","Male","Male","Male","Female","Unknown","Unknown","Male","Male","Female","Female","Unknown","Male","Male","Male","Male","Female","Female","Female","Male","Male","Female","Male","Female","Female","Ciro","Renato","Xuetao","Ky-chun","Wedig","Sung-chul","Longjin","Jan","Udo","Ethel","Weilie","Bong-ho","Engelbert","Demetrio","Yunhui","Yong-pil","Choon-mie","Jong-sei","Canfa","Luis","Ditmar","Dino","Shenggen","Mariassunta",0.125
19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25,"South Korea","control","Female","Female","Male","Male","Male","Male","Male","Male","Female","Unknown","Male","Unknown","Male","Female","Unknown","Male","Male","Female","Male","Unknown","Unknown","Male","Female","Female","Beatrix","Choong-soo","Zhizhen","Ky-chun","Ping","Yong-pil","Gerardo","Claus-Peter","In-jin","Gontard","Luis","Renato","Roberto","Shenggen","Jinghua","Weilie","Ludger","Eugenia","Baek-in","Xuetao","Job-Gunter","Engelbert","Lionello","Yeong-hui",0.208333333333333
20,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,52,"South Korea","treat","Male","Male","Female","Male","Female","Female","Male","Female","Male","Male","Male","Male","Female","Male","Male","Male","Male","Unknown","Male","Female","Male","Male","Unknown","Unknown","Claus-Peter","Wedig","Ping","Demetrio","Canfa","Eugenia","Sung-chul","Hei-sook","Lionello","Engelbert","Dino","Yong-pil","Ning","Choong-soo","Gerardo","Jan","Kil-nam","Jinghua","Bong-ho","Trude","Udo","Luis","Xuhua","Longjin",0.125
21,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,29,"South Korea","control","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Female","Female","Male","Male","Female","Male","Female","Male","Male","Male","Male","Lionello","Claus-Peter","Gernulf","Gerardo","Ciro","Yong-pil","Gontard","Ferdinando","Ky-chun","Xinyuan","Sung-chul","Choong-soo","Weilie","Mechtild","Stefania","Lino","Ping","Longjin","Udo","Bok-ryeo","Ning","Kwang-je","Jinghua","Ditmar",0
22,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,27,"South Korea","treat","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Female","Male","Unknown","Male","Male","Male","Unknown","Male","Unknown","Male","Male","Unknown","Unknown","Unknown","Unknown","Male","Female","Udo","Ditmar","Wenying","Xuhua","Kil-nam","Canfa","Claus-Peter","Isabel","Ky-chun","Xinyuan","Hong-nam","Sung-chul","Yong-pil","Renato","Luis","Lionello","Choong-soo","Demetrio","Junliang","Jan","Shenggen","Wedig","Dino","Augusta",0.583333333333333
23,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,42,"South Korea","control","Female","Male","Male","Female","Male","Male","Male","Male","Male","Female","Male","Male","Unknown","Female","Male","Male","Female","Male","Male","Male","Female","Male","Unknown","Unknown","Isabel","Engelbert","Bong-ho","Maria","Dino","Luis","Gernulf","Claus-Peter","Lionello","Ning","Gontard","Roberto","Canfa","Jinghua","Sung-chul","Baek-in","Xinyuan","Choong-soo","Ky-chun","Ferdinando","In-young","Udo","Weilie","Longjin",0.125
24,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,52,"South Korea","treat","Unknown","Male","Male","Male","Male","Unknown","Male","Male","Unknown","Male","Male","Male","Female","Male","Unknown","Male","Unknown","Unknown","Female","Male","Male","Male","Unknown","Male","Longjin","Bong-ho","Ludger","Engelbert","Heike","Wenying","Jong-sei","Sung-chul","Xuetao","Gernulf","Dino","Luis","Hwa-jin","Renato","Baek-in","Junliang","Ping","Xinyuan","Augusta","Jan","Ditmar","Gerardo","In-jin","Roberto",0.291666666666667
25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,41,"South Korea","control","Unknown","Male","Male","Male","Unknown","Unknown","Female","Male","Male","Male","Male","Male","Male","Unknown","Unknown","Male","Female","Male","Unknown","Male","Male","Male","Male","Male","Junliang","Ky-chun","Gerardo","Ditmar","Ping","Longjin","Hwa-jin","Ludger","Ferdinando","Demetrio","Jan","Gernulf","Bong-ho","Anty","Zhizhen","Canfa","Beatrix","Choong-soo","Jinghua","Baek-in","Roberto","Renato","Kwang-je","Job-Gunter",0.25
26,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,32,"South Korea","treat","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Sung-chul","Ethel","Wenying","Gerardo","Jong-sei","In-young","Lino","Xuhua","Kil-nam","Ping","Ditmar","Stefania","Kwang-je","Dino","Wedig","Ciro","Claus-Peter","Jan","Yong-pil","Junliang","Canfa","Lionello","Xinyuan","Gernulf",0
27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,44,"South Korea","control","Unknown","Male","Male","Male","Male","Male","Male","Male","Male","Female","Female","Female","Male","Male","Male","Male","Female","Female","Female","Unknown","Male","Male","Unknown","Unknown","Weilie","Yong-pil","Sung-chul","Claus-Peter","Ludger","Bong-ho","Lionello","Roberto","Lino","Yunhui","In-jin","Ana","Gernulf","Gontard","Choong-soo","Dino","Jinghua","Longjin","Xinyuan","Anty","In-ho","Gerardo","Shenggen","Job-Gunter",0.166666666666667
28,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,20,"South Korea","treat","Female","Male","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Male","Male","Male","Male","Female","Male","Male","Male","Female","Male","Male","Male","Li","Ky-chun","Sung-chul","Roberto","Jinghua","Mechtild","Luis","Maria","Yeong-hui","Longjin","Udo","Bong-ho","Engelbert","Lino","Ludger","Gontard","Xuhua","Baek-in","Kil-nam","Wedig","Ping","Dino","Lionello","Shenggen",0
29,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,33,"South Korea","treat","Female","Male","Male","Male","Male","Female","Female","Female","Female","Male","Male","Male","Female","Female","Female","Male","Male","Female","Male","Male","Female","Female","Male","Male","Ping","Gerardo","Bong-ho","Yong-pil","Jong-sei","Yunhui","Canfa","Longjin","Shenggen","Roberto","Gontard","Engelbert","Junliang","Choong-soo","Heike","Dino","Ciro","Jan","Ludger","Wedig","Maria","Yeong-hui","Sung-chul","Ferdinando",0
30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,28,"South Korea","control","Male","Male","Male","Female","Male","Male","Female","Male","Male","Female","Female","Male","Male","Male","Male","Male","Female","Male","Female","Male","Male","Male","Female","Male","Ferdinando","Junliang","Longjin","Dora","Ludger","Udo","Canfa","Ditmar","Yong-pil","Heike","Bok-ryeo","Claus-Peter","Bong-ho","Lionello","In-jin","Renato","Weilie","Roberto","Yunhui","Sung-chul","Job-Gunter","Kwang-je","Xuetao","Ciro",0
31,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,22,"South Korea","treat","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Unknown","Male","Male","Male","Male","Male","Male","Female","Male","Male","Unknown","Male","Male","Xuetao","Engelbert","Ferdinando","Yong-pil","Canfa","Kil-nam","In-jin","Kyongae","Wedig","Jinghua","Li","Ciro","Jong-sei","Job-Gunter","Xinyuan","Roberto","Trude","Anty","Gerardo","Xuhua","Gontard","Ludger","Dino","Ky-chun",0.0833333333333333
32,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,28,"South Korea","control","Male","Male","Male","Male","Female","Female","Male","Unknown","Unknown","Male","Female","Male","Male","Unknown","Female","Unknown","Male","Male","Male","Male","Male","Female","Male","Female","Mariassunta","Roberto","Xinyuan","Dino","Hei-sook","Job-Gunter","Jan","Gerardo","Ping","Xuhua","Weilie","Luis","In-jin","Udo","Gernulf","Ky-chun","Jinghua","Gontard","Ning","Baek-in","Renato","Kil-nam","Sung-chul","Beatrix",0.166666666666667
33,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,60,"South Korea","treat","Male","Male","Female","Male","Male","Male","Male","Male","Unknown","Female","Male","Unknown","Female","Unknown","Unknown","Male","Male","Female","Male","Unknown","Male","Unknown","Male","Female","Roberto","Bong-ho","Stefania","Ferdinando","Sung-chul","Yong-pil","Engelbert","Gerardo","Ping","Hei-sook","Kwang-je","Dong","Luis","Xinyuan","Job-Gunter","Xuetao","Ditmar","Greta","Claus-Peter","Shenggen","Choong-soo","Ludger","Lionello","Jinghua",0.25
34,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,45,"South Korea","control","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Male","Unknown","Unknown","Unknown","Unknown","Unknown","Ky-chun","Junliang","Trude","Kil-nam","Kyongae","Wedig","Canfa","Xuhua","Baek-in","Dora","Demetrio","Gontard","Renato","Jinghua","Gernulf","Job-Gunter","Udo","Wenying","Lionello","Ciro","Ferdinando","In-jin","Choong-soo","Weilie",0.958333333333333
35,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,28,"South Korea","control","Male","Male","Male","Male","Male","Male","Male","Female","Male","Female","Male","Male","Female","Male","Male","Female","Female","Male","Female","Male","Male","Female","Female","Male","Bok-ryeo","Lino","Claus-Peter","Ping","Ferdinando","Xuetao","Ditmar","Kwang-je","Shenggen","In-jin","Demetrio","Gerardo","Ana","Wedig","Gernulf","Choong-soo","Jinghua","Sung-chul","Alma","Lionello","Kil-nam","Ning","Xuhua","Job-Gunter",0
36,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,25,"South Korea","treat","Male","Female","Female","Male","Male","Male","Male","Male","Female","Male","Male","Female","Female","Male","Female","Male","Female","Male","Female","Female","Female","Female","Female","Male","Weilie","Zhizhen","Junliang","Sung-hee","Sung-chul","Jinghua","Baek-in","Ciro","Shenggen","Wedig","Luis","Jong-sei","Choong-soo","Ferdinando","Engelbert","Ludger","Udo","Gontard","Dora","Lionello","Kil-nam","Xinyuan","Isabel","Demetrio",0
37,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,45,"South Korea","control","Male","Female","Female","Female","Male","Female","Male","Male","Male","Male","Female","Female","Female","Female","Female","Female","Male","Male","Male","Female","Female","Female","Female","Female","Baek-in","Ping","Luis","Yong-pil","Job-Gunter","Lino","Udo","Ditmar","Lionello","Gerardo","Xuhua","Beatrix","Xinyuan","Engelbert","Xuetao","Zhizhen","Claus-Peter","Bok-ryeo","Augusta","Kil-nam","Choong-soo","In-jin","Renato","Shenggen",0
38,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,41,"South Korea","treat","Male","Male","Male","Male","Male","Unknown","Male","Male","Female","Male","Female","Male","Male","Male","Male","Male","Male","Male","Male","Female","Male","Male","Female","Male","Ciro","Gernulf","Roberto","Yong-pil","Xuhua","Sung-chul","Dino","Gontard","Dora","Choong-soo","Jinghua","Shenggen","Jan","Demetrio","Ping","Ethel","In-young","Ky-chun","Wedig","Xiaoyi","Xinyuan","Engelbert","In-jin","Ferdinando",0.0416666666666667
39,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,23,"South Korea","treat","Female","Male","Male","Male","Female","Male","Male","Female","Female","Male","Male","Male","Male","Female","Male","Female","Female","Male","Male","Male","Male","Male","Male","Male","Yunhui","Jinghua","Ludger","Weilie","Hwa-jin","Gernulf","Yong-pil","Eugenia","Jan","Ping","Dino","Gerardo","Bong-ho","Ferdinando","Sung-chul","Renato","Canfa","Longjin","Ky-chun","Udo","Roberto","Heike","In-jin","Ditmar",0
40,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,25,"South Korea","control","Male","Male","Male","Male","Male","Male","Male","Male","Female","Female","Male","Male","Male","Female","Male","Male","Female","Male","Female","Male","Male","Male","Male","Male","Job-Gunter","Xiaoyi","Sung-chul","Gernulf","Demetrio","Shenggen","Yong-pil","Ditmar","Mariassunta","Weilie","Bok-ryeo","Dino","Lino","Kil-nam","In-jin","Kwang-je","Xuhua","Lionello","Ana","Gontard","Roberto","Longjin","Claus-Peter","Ping",0
41,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,35,"South Korea","control","Male","Unknown","Unknown","Unknown","Female","Male","Male","Unknown","Unknown","Unknown","Unknown","Male","Male","Unknown","Unknown","Male","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Male","Dino","Kyongae","Xuhua","Ciro","Lucetta","Roberto","Job-Gunter","Ky-chun","Li","Ping","Jinghua","Ludger","Trude","Xuetao","Kil-nam","Gerardo","Kwang-je","Shenggen","Udo","Sung-chul","Wedig","Ditmar","Choong-soo","Ferdinando",0.666666666666667
42,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,51,"South Korea","treat","Female","Male","Female","Female","Male","Male","Male","Male","Male","Female","Female","Male","Male","Female","Male","Male","Female","Female","Male","Male","Male","Male","Male","Female","In-jin","Lionello","Lucetta","Melanie","Dino","Sucheng","Jinghua","Canfa","Gernulf","Baek-in","Xuhua","Claus-Peter","Udo","In-ho","Sung-chul","Kil-nam","Ciro","Wedig","Demetrio","Job-Gunter","Xinyuan","Gerardo","Choong-soo","Junliang",0
43,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,38,"South Korea","control","Male","Male","Female","Male","Male","Male","Male","Female","Female","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Female","Male","Female","Male","Gontard","Jong-sei","Xiaoyi","Lino","Engelbert","Ferdinando","Weilie","Bok-ryeo","Greta","Ping","Lionello","Ludger","Xuetao","Ky-chun","Yong-pil","Baek-in","Claus-Peter","Shenggen","Ciro","Udo","Renata","Sung-chul","Xuhua","Roberto",0
44,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,28,"South Korea","treat","Male","Female","Male","Female","Female","Unknown","Female","Female","Male","Male","Male","Female","Male","Male","Female","Female","Female","Female","Unknown","Male","Male","Male","Male","Male","Bong-ho","Renato","Gerardo","Yunhui","Maria","Job-Gunter","Xinyuan","Beatrix","Longjin","Lino","Gontard","Weilie","Sung-chul","Choong-soo","Jinghua","Hwa-jin","Ping","Jan","Udo","Ferdinando","Yong-pil","Kil-nam","Roberto","Ludger",0.0833333333333333
45,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,25,"South Korea","treat","Female","Female","Male","Male","Male","Female","Unknown","Female","Female","Male","Male","Female","Female","Male","Female","Female","Male","Male","Male","Male","Unknown","Unknown","Female","Unknown","Baek-in","Xinyuan","Luis","Jan","Lionello","Stefania","Ky-chun","Greta","Xiaoyi","Gontard","Ditmar","Junliang","Ciro","Yong-pil","Choon-mie","Engelbert","Lino","Claus-Peter","Ferdinando","Bong-ho","Jinghua","Jong-sei","Longjin","Shenggen",0.166666666666667
46,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,34,"South Korea","control","Male","Male","Male","Female","Female","Male","Male","Male","Male","Male","Male","Female","Unknown","Male","Female","Unknown","Female","Female","Unknown","Male","Female","Male","Female","Male","Jong-sei","Renato","Gontard","Weilie","In-jin","Bong-ho","Engelbert","Ky-chun","Lionello","Ferdinando","Choong-soo","Sung-hee","Udo","Ditmar","Longjin","Lino","Beatrix","Miaoqing","Ludger","Xuetao","Jinghua","Anty","Xinyuan","Gerardo",0.125
47,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,35,"South Korea","treat","Male","Male","Female","Unknown","Female","Male","Male","Male","Male","Male","Male","Female","Male","Male","Male","Male","Female","Male","Female","Male","Male","Female","Male","Male","Ditmar","Choon-mie","Wenying","Gerardo","Udo","Jinghua","Canfa","Gernulf","Bong-ho","Kwang-je","Roberto","Melanie","In-jin","Alma","Ludger","Demetrio","Weilie","Ky-chun","Ping","Lionello","Longjin","Lino","Baek-in","Claus-Peter",0.0416666666666667
48,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,42,"South Korea","control","Female","Male","Male","Male","Male","Female","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Male","Male","Unknown","Male","Male","Unknown","Unknown","Male","Male","Female","Unknown","Unknown","Beatrix","Bong-ho","Gerardo","Renato","Weilie","In-jin","Miaoqing","Longjin","Baek-in","Demetrio","Gernulf","Luis","Lionello","Kil-nam","Jong-sei","Job-Gunter","Xuetao","Anty","Xuhua","Claus-Peter","Udo","Kyongae","Jinghua","Wedig",0.458333333333333
49,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,26,"South Korea","control","Male","Female","Male","Male","Male","Male","Female","Female","Male","Male","Male","Female","Female","Male","Female","Male","Male","Male","Male","Male","Male","Female","Male","Male","Claus-Peter","Kil-nam","In-young","Luis","Engelbert","Ciro","Xuhua","Wedig","Baek-in","Li","Job-Gunter","Jinghua","Renata","Sung-chul","Canfa","Gerardo","Gontard","Ky-chun","Demetrio","Ferdinando","Ping","Kwang-je","Junliang","Beatrix",0
